0;1;2
C1.03.10.3::lpatrick;3;
C1.03.10.3::lpatrick;4;
C1.03.10.3::lpatrick;5;
C1.03.10.3::lpatrick;6;
C1.03.10.3::lpatrick;7;
C1.03.10.3::lpatrick;8;
C1.03.10.3::lpatrick;9;
C1.03.10.3::lpatrick;10;
C1.03.09.13::lpatrick;1;72.67
C1.03.09.13::lpatrick;2;70.95
C1.03.09.13::lpatrick;3;70.85
C1.03.09.13::lpatrick;4;88.14
C1.03.09.13::lpatrick;5;87.06
C1.03.09.13::lpatrick;6;86.05
C1.03.09.13::lpatrick;7;64.8
C1.03.09.13::lpatrick;8;63.43
C1.03.09.13::lpatrick;9;63.23
C1.03.09.13::lpatrick;10;
C1.01.12::OP001cotavio;1;
C1.01.12::OP001cotavio;2;
C1.01.12::OP001cotavio;3;
C1.01.12::OP001cotavio;4;
C1.01.12::OP001cotavio;5;
C1.01.12::OP001cotavio;6;
C1.01.12::OP001cotavio;7;
C1.01.12::OP001cotavio;8;
C1.01.12::OP001cotavio;9;
C1.01.12::OP001cotavio;10;
C1.01.12::jwagner;1;112.96
C1.01.12::jwagner;2;105.71
C1.01.12::jwagner;3;85.36
C1.01.12::jwagner;4;85.36
C1.01.12::jwagner;5;85.83
C1.01.12::jwagner;6;85.13
C1.01.12::jwagner;7;86.81
C1.01.12::jwagner;8;88.02
C1.01.12::jwagner;9;87.88
C1.01.12::jwagner;10;45.5
C1.01.10.3::rmariana;1;116.1
C1.01.10.3::rmariana;2;116.23
C1.01.10.3::rmariana;3;116.91
C1.01.10.3::rmariana;4;117.68
C1.01.10.3::rmariana;5;119.23
C1.01.10.3::rmariana;6;118.94
C1.01.10.3::rmariana;7;121.03
C1.01.10.3::rmariana;8;123.19
C1.01.10.3::rmariana;9;123.16
C1.01.10.3::rmariana;10;104.0
C1.01.10.1::OP001landre;1;
C1.01.10.1::OP001landre;2;
C1.01.10.1::OP001landre;3;
C1.01.10.1::OP001landre;4;
C1.01.10.1::OP001landre;5;
C1.01.10.1::OP001landre;6;
C1.01.10.1::OP001landre;7;
C1.01.10.1::OP001landre;8;
C1.01.10.1::OP001landre;9;
C1.01.10.1::OP001landre;10;
C1.01.10.1::nthiago;1;
C1.01.10.1::nthiago;2;
C1.01.10.1::nthiago;3;
C1.01.10.1::nthiago;4;
C1.01.10.1::nthiago;5;
C1.01.10.1::nthiago;6;
C1.01.10.1::nthiago;7;
C1.01.10.1::nthiago;8;
C1.01.10.1::nthiago;9;
C1.01.10.1::nthiago;10;
C1.01.10::geduardo;1;113.06
C1.01.10::geduardo;2;113.85
C1.01.10::geduardo;3;113.89
C1.01.10::geduardo;4;114.66
C1.01.10::geduardo;5;117.0
C1.01.10::geduardo;6;116.14
C1.01.10::geduardo;7;119.59
C1.01.10::geduardo;8;120.97
C1.01.10::geduardo;9;121.58
C1.01.10::geduardo;10;100.68
C1.01.06::garthur;1;
C1.01.06::garthur;2;
