0;1
C1.02::pcrodrigo;Partage_ADM
C1.02.02::antigo.ncassio;PSMO
C1.02.02::antigo.ncassio;PNSN
C1.02.02::antigo.ncassio;PSAR
C1.02.02::antigo.ncassio;PSCG
C1.02.02::antigo.ncassio;PSMA
C1.02.02::antigo.ncassio;PSPA
C1.02.02::ncassio;PSMO
C1.02.02::ncassio;PNSN
C1.02.02::ncassio;PSAR
C1.02.02::ncassio;PSCG
C1.02.02::ncassio;PSMA
C1.02.02::ncassio;PSPA
C1.02.03::fvandoir;Partage_ADM
C1.02.03.09::sallan;Partage_ADM
C1.06.06.05::antigo.cbleandro;PSRG
C1.06.06.05::antigo.cbleandro;PSJS
C1.06.06.05::antigo.cbleandro;PSBE
C1.06.06.05::antigo.cbleandro;PSSG
C1.06.06.05::antigo.cbleandro;S3A
C1.06.06.05::antigo.cbleandro;PSPC
C1.03.10.04::OP001orafael;PSMA
C1.03.10.04::orafael;PSMA
C1.03.10.45::fricardo;Operações_N|CO
C1.02.02.01::ncassio;Operações_NE
C1.06.06.06::cbleandro;Operações_S|SE
C1.03::OP001vluiz;Partage_ADM
C1.03.01::nmarcelo;PSSG
C1.03.01::pjacqueline;PSSG
C1.03.01.02::shederaldo;PSSG
C1.03.01.02.01.01::vaqualidade;PSSG
C1.03.01.02.01.01::OP001racamila;PSSG
C1.03.01.02.02::malex;PSSG
C1.03.01.02.02::salexander;PSSG
C1.03.01.02.02::qrafael;PSSG
C1.03.01.02.02::cvilwander;PSSG
C1.03.01.02.03::raline;PSSG
C1.03.01.02.03.03::OP001caldineia;PSSG
C1.03.01.02.03.03::OP001pguilherme;PSSG
C1.03.01.02.03.01::ralan;PSSG
C1.03.01.02.03.01::vagox;PSSG
C1.03.01.02.03.01::lrenan;PSSG
C1.03.01.02.03.02::voperacoes;PSSG
C1.03.01.02.03.02::pguilherme;PSSG
C1.03.01.02.03.02::OP001apriscila;PSSG
C1.03.01.02.03.02::ssergio;PSSG
C1.03.01.02.04::saldair;PSSG
C1.03.01.01::rdaniela;PSSG
C1.03.01.01::pdanielle;PSSG
C1.03.01.01::npenha;PSSG
C1.03.01.01.04::ahenrique;PSSG
C1.03.01.03::vgermkt;PSSG
C1.03.01.05::pdanielle;PSSG
C1.03.01.01.01.01::fthiara;PSSG
C1.03.01.04::cmatheus;PSSG
C1.03.01.01.01.03::shiago;PSSG
C1.03.01.01.02.01::ggabriella;PSSG
C1.03.01.03.01::proza;PSSG
C1.03.01.03.01::cluciana;PSSG
C1.03.01.03.01::epietro;PSSG
C1.03.01.03.01.02::rcaline;PSSG
C1.03.01.03.01.02::celizabeth;PSSG
C1.03.01.03.01.02::crobson;PSSG
C1.03.01.03.01.01::rlorrana;PSSG
C1.03.01.03.01.01::vamkt;PSSG
C1.03.01.03.01.01::lmanuella;PSSG
C1.03.01.03.01.01::OP001epietro;PSSG
C1.03.02::frafael;PSBE
C1.03.02::prodrigo;PSBE
C1.03.02.02::cgalileu;PSBE
C1.03.02.02.01::vcoordenador;PSBE
C1.03.02.02.01::OP001vfernando;PSBE
C1.03.02.02.02::narthur;PSBE
C1.03.02.02.02::vagoseg;PSBE
C1.03.02.02.02::jedson;PSBE
C1.03.02.02.03::pcristiano;PSBE
C1.03.02.02.04::falekson;PSBE
C1.03.02.02.04::psboper;PSBE
C1.03.02.02.01.01::cpaula;PSBE
C1.03.02.02.04.01::maline;PSBE
C1.03.10.18::shudson;PSBE
C1.03.10.43::ccamila;PSBE
C1.03.02.03::vgerm;PSBE
C1.03.02.05::dgislaine;PSBE
C1.03.02.01.01.01::smarcus;PSBE
C1.03.02.01.01.01::OP001omike;PSBE
C1.03.02.01.01.01::lmrafael;PSBE
C1.03.02.01.01.03::ngrazielly;PSBE
C1.03.02.01.01.03::fheitor;PSBE
C1.03.02.01.01.03::asandra;PSBE
C1.03.02.01.01.03::rwallace;PSBE
C1.03.02.01.01.10.01::ccarla;PSBE
C1.03.10.33::cdaniel;PSBE
C1.03.02.03.01::slaura;PSBE
C1.03.02.03.01::vago59;PSBE
C1.03.02.03.01::mdeborah;PSBE
C1.03.02.03.01.01::gpatrick;PSBE
C1.03.02.03.01.02::vbruna;PSBE
C1.03.02.03.01.02::fpatricia;PSBE
C1.03.03::sacharles;PNSN
C1.03.03.02::mcristiano;PNSN
